pair,model,experiment_id,step,sample,metric,region,value,value_norm,comparability
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01105189,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00046966,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.0047766,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81517208,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95127434,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.895881,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15720437,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10500291,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,21.7594,1.688227854975987,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.772296,,normalized_only
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.845172,1.1104284864712815,face_value
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.025779,0.9158870865766047,face_value
euler_nocfg_on,omniavatar,omni_ta_euler_nocfg_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01111094,,normalized_only
