pair,model,experiment_id,step,sample,metric,region,value,value_norm,comparability
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01105189,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00046966,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.0047766,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81517208,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95127434,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.895881,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15720437,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10500291,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,21.7594,1.688227854975987,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.772296,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.845172,1.1104284864712815,face_value
euler_on_on,omniavatar,omni_ta_euler_on_on,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.025779,0.9158870865766047,face_value
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01112575,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00045209,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00479624,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81570369,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95166469,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.89632899,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15727854,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10482322,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,22.2516,1.726415753089868,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.011732,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.913124,1.1214517064156009,face_value
euler_on_on,omniavatar,omni_ta_euler_on_on,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.953051,0.9064061968371832,face_value
euler_on_on,omniavatar,omni_ta_euler_on_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01100348,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00036361,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00469401,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81822872,,normalized_only
euler_on_on,omniavatar,omni_ta_euler_on_on,2,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95362216,,normalized_only
