pair,model,experiment_id,step,sample,metric,region,value,value_norm,comparability
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00156594,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00014463,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.0007231,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90545976,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96854305,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94286835,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11847242,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.07498609,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.9999,1.0086120615413263,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.942104,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.25264,1.0143075399200772,face_value
nocfg_trajectory,omniavatar,omni_ta_nocfg,0,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.521641,0.9805281182008627,face_value
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.0015496,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00014377,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00071594,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90637124,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96870714,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94333661,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11699614,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.07407436,,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.9869,1.007603441721171,normalized_only
nocfg_trajectory,omniavatar,omni_ta_nocfg,1,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.928346,,normalized_only
