step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,60.6479
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.698332
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.826336
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.02605764
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.01182687
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.58909631
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.73602623
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.42001706
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.30904102
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,35.4157
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.329324
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,10.47141
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,1.880838
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.02705566
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.01437483
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.56755239
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.74748349
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.39315212
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.30300164
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,51.223
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.806853
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.915001
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,2.241417
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.03841018
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.01365344
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.5229525
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.75630915
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.38579506
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.28313452
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,53.9903
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.561278
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.959704
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,2.702292
3,990.779053,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.03967822
