step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,60.6479
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.698332
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.826336
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01393951
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00630147
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.66102022
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.82357985
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.53665131
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.34281322
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,24.7868
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.531417
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,10.113121
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,0.677347
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01291851
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00566454
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.66738725
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.83222705
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.5291186
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.32615912
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,25.1974
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.749735
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,10.160089
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,0.963696
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01201721
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00541061
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.67242551
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.8351354
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.52227616
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.31293592
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,27.8978
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.017839
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,10.016882
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,1.480412
3,990.779053,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01173948
