step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,60.6479
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.698332
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.826336
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01991098
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00785812
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.61462736
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.778952
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.43872043
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.29297689
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,30.7977
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.35119
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,10.236093
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,1.744915
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01782051
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00891191
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.61826181
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.78922999
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.42627099
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.28997576
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,37.0746
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.76251
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.775352
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,2.352781
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01893279
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00845334
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.61091667
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.80038846
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.40655836
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.27941236
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,41.4238
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,5.472913
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.138317
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,3.074294
3,990.779053,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.02383155
