step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,60.6479
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.698332
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.826336
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01566416
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00549058
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.63574374
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.81518543
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.45035043
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.28772652
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,23.7541
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.214869
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.839404
0,1000.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,1.897126
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01396968
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00591283
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.65466464
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.82214093
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.45544928
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.29103088
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,25.094
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.307522
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.726688
1,997.035706,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,2.089193
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01345328
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00576869
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.66005719
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.82515746
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.45444918
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.29409176
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,24.3882
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,6.582418
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,9.310225
2,993.963867,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,2.554702
3,990.779053,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01306015
