step0,teacher,metric,terminal
on,on,pixel_mse,0.025165269
on,on,ssim,0.562774271
on,on,lpips,0.45575105699999996
on,on,sync_c,2.150792555555556
on,noaudio,pixel_mse,0.025164770000000003
on,noaudio,ssim,0.5627552440000001
on,noaudio,lpips,0.456289069
on,noaudio,sync_c,2.176926888888889
on,nocfg,pixel_mse,0.025164868
on,nocfg,ssim,0.562876009
on,nocfg,lpips,0.456513025
on,nocfg,sync_c,2.1248933333333335
noaudio,on,pixel_mse,0.015599876000000002
noaudio,on,ssim,0.608790759
noaudio,on,lpips,0.46814693900000004
noaudio,on,sync_c,1.8437617142857143
noaudio,noaudio,pixel_mse,0.015599135
noaudio,noaudio,ssim,0.608776349
noaudio,noaudio,lpips,0.468053744
noaudio,noaudio,sync_c,1.7398077142857142
nocfg,on,pixel_mse,0.013577017
nocfg,on,ssim,0.623762506
nocfg,on,lpips,0.528377217
nocfg,on,sync_c,1.188934
nocfg,nocfg,pixel_mse,0.013576620000000001
nocfg,nocfg,ssim,0.62375159
nocfg,nocfg,lpips,0.528957513
nocfg,nocfg,sync_c,1.22584
