text,audio,metric,region,terminal
5.0,4.0,ssim,mouth,0.488038755
5.0,1.0,ssim,mouth,0.4970407979999999
5.0,2.0,ssim,mouth,0.501478331
5.0,6.0,ssim,mouth,0.47814824000000006
1.0,1.0,ssim,mouth,0.513242503
2.5,2.0,ssim,mouth,0.503041543
7.5,6.0,ssim,mouth,0.475517065
5.0,4.0,ssim,full,0.684557194
5.0,1.0,ssim,full,0.6876452259999999
5.0,2.0,ssim,full,0.6888415990000001
5.0,6.0,ssim,full,0.6787819730000001
1.0,1.0,ssim,full,0.701661408
2.5,2.0,ssim,full,0.693097561
7.5,6.0,ssim,full,0.676921498
5.0,4.0,lpips,mouth,0.34093243199999995
5.0,1.0,lpips,mouth,0.343743416
5.0,2.0,lpips,mouth,0.328144144
5.0,6.0,lpips,mouth,0.343741362
1.0,1.0,lpips,mouth,0.33737866699999997
2.5,2.0,lpips,mouth,0.330908813
7.5,6.0,lpips,mouth,0.350041088
5.0,4.0,lpips,full,0.29550948099999996
5.0,1.0,lpips,full,0.300732767
5.0,2.0,lpips,full,0.293581109
5.0,6.0,lpips,full,0.29868426000000003
1.0,1.0,lpips,full,0.28141629
2.5,2.0,lpips,full,0.286877005
7.5,6.0,lpips,full,0.3021492
5.0,4.0,pixel_mse,mouth,0.027309505
5.0,1.0,pixel_mse,mouth,0.026179706999999997
5.0,2.0,pixel_mse,mouth,0.025923715000000003
5.0,6.0,pixel_mse,mouth,0.027986838999999996
1.0,1.0,pixel_mse,mouth,0.023732064
2.5,2.0,pixel_mse,mouth,0.025362561999999998
7.5,6.0,pixel_mse,mouth,0.028818339999999998
5.0,4.0,pixel_mse,full,0.019628039000000003
5.0,1.0,pixel_mse,full,0.020431588999999997
5.0,2.0,pixel_mse,full,0.019764058
5.0,6.0,pixel_mse,full,0.020007412
1.0,1.0,pixel_mse,full,0.018033966999999998
2.5,2.0,pixel_mse,full,0.018749211
7.5,6.0,pixel_mse,full,0.020181484
5.0,4.0,lmd,mouth,4.8154843000000005
5.0,1.0,lmd,mouth,5.0782754
5.0,2.0,lmd,mouth,4.7137766
5.0,6.0,lmd,mouth,5.1698391
1.0,1.0,lmd,mouth,5.6674531
2.5,2.0,lmd,mouth,4.6063863
7.5,6.0,lmd,mouth,5.1245411999999995
5.0,4.0,sync_c,mouth,7.6609855
5.0,1.0,sync_c,mouth,5.805234
5.0,2.0,sync_c,mouth,7.142190600000001
5.0,6.0,sync_c,mouth,7.854914500000001
1.0,1.0,sync_c,mouth,5.4240832
2.5,2.0,sync_c,mouth,7.043012
7.5,6.0,sync_c,mouth,7.906284400000001
5.0,4.0,sync_d,mouth,7.303967700000001
5.0,1.0,sync_d,mouth,8.5637783
5.0,2.0,sync_d,mouth,7.624619900000001
5.0,6.0,sync_d,mouth,7.232711900000001
1.0,1.0,sync_d,mouth,8.8775967
2.5,2.0,sync_d,mouth,7.598754099999999
7.5,6.0,sync_d,mouth,7.228292399999999
5.0,4.0,sharpness,mouth,28.96529
5.0,1.0,sharpness,mouth,25.1109
5.0,2.0,sharpness,mouth,25.883010000000002
5.0,6.0,sharpness,mouth,34.585
1.0,1.0,sharpness,mouth,25.002010000000002
2.5,2.0,sharpness,mouth,25.406419999999997
7.5,6.0,sharpness,mouth,34.89292999999999
