step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.8889
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.164442
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.671010
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00948412
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00017461
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00396356
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.83170760
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96462250
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.91052651
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.14214233
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.08910418
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,17.9924
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.252254
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.831685
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.806545
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00956112
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00017241
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00399359
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.83226663
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96511114
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.91104370
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.14234079
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.08910117
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,18.2035
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.806144
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.743557
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.833517
