step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.8889
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.164442
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.671010
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00953323
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00017336
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00398281
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.83156294
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96502298
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.91070509
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.14207573
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.08899964
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,18.1061
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.996789
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.765107
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.924200
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00960318
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00017470
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00401207
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.83151227
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96503824
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.91069341
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.14329319
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.08952250
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,18.4061
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.405737
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.836147
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.841184
