step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.8889
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.164442
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.671010
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00155557
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00014486
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00071902
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90555298
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96819407
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94269931
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11807424
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.07456060
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,13.0124
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.918379
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.200637
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.575634
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00155275
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00014245
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00071644
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.90616041
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.96876913
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94328761
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.11740386
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.07420188
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.9890
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.934586
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.263108
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.526243
