step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.8889
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.164442
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.671010
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01105189
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00046966
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00477660
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81517208
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95127434
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.89588100
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15720437
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10500291
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,21.7594
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.772296
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.845172
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.025779
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01111094
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00044429
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00478559
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81617296
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95175070
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.89657086
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15701634
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10462661
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,22.6232
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.211958
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.957597
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.898473
