step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.8889
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.164442
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.67101
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01107745
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00046368
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00478346
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81546915
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95133305
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.89603668
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15760906
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10512843
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,21.7686
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,7.697553
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.965129
0,0.999000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.832048
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.01127576
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00044195
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00485128
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.81478137
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.95160913
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.89592046
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.15842803
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.10562394
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,22.5107
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,8.536811
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,6.977129
1,0.995732,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.835546
