step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.996210
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,5.926050
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00123040
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00011595
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00056953
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.92875022
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97380358
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95546699
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.06045499
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.04154846
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,16.0119
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.124700
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.849465
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,5.558729
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00114468
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00010326
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00052712
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93042469
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97434044
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95646679
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05822897
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03989099
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,15.4845
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.012762
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.630169
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.069590
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00107542
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008952
