step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.996210
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,5.926050
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00045035
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008477
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00023356
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95318913
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97452003
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96583837
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02683801
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02226594
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.0963
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.331195
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,3.618711
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.460501
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00114689
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00010274
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00052770
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93032414
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97444469
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95648772
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05837197
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03997044
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,15.5182
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.034637
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.641250
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,6.156703
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00108387
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008870
