step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,4.996210
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,5.926050
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00045021
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008481
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00023353
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95323777
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97446978
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96582842
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02693660
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02225490
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.1343
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.368309
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,3.627392
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.615869
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00043164
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00007582
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00022064
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95384467
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97511882
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96646035
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02662648
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02166635
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.0290
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.394222
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_d,mouth,3.571631
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sync_c,mouth,7.698763
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00042326
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006927
