step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00151122
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00014545
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00070132
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.91894996
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97122002
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94994622
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.06992416
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.04691418
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,18.0449
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.204309
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00136525
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00012079
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00062728
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.91652477
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97227383
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94958407
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.06702815
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.04499222
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,16.0852
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.080494
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00117385
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00010157
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00053798
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.92758501
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97337902
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95474088
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05682527
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03915095
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,15.4641
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.944602
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00157876
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00010734
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00070621
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.91012585
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97344643
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.94767499
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.08365240
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.05286710
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,16.5340
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.065757
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00309682
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00011565
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00132898
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.84083509
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97080767
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.91790915
