step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00123090
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00011610
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00056982
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.92857605
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97377074
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95537663
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.06011534
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.04145746
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,16.0175
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.191720
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00114122
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00010315
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00052564
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93043923
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97436142
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95648515
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05824504
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03991843
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,15.3761
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,2.056715
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00107591
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008927
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00049083
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93160290
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97486293
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95725620
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05628655
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03852038
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,15.0423
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.928947
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00099944
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008134
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00045501
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93349636
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97519898
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95822608
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.05267978
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03603041
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,14.5290
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.783936
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00092118
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00007332
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00041840
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93516207
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97554410
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95910871
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.04950850
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03382579
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,13.9354
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.672082
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00084488
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006835
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00038440
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93704677
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97570556
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.95997149
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.04584632
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.03184006
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,13.2433
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.738117
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00076328
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006301
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00034802
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.93912405
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97580659
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96087688
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.04183861
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02943061
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,12.4815
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.562713
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00068254
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005809
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00031224
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.94158059
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97599030
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96198559
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.03837696
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02711909
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,11.7557
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.450172
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00061732
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005565
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00028425
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.94403231
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97614372
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96307451
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.03435824
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02457433
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,11.0223
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.512280
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00056963
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005419
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00026397
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.94631064
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97637153
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96413684
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.03112967
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02281411
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.5569
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.529855
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00053520
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005228
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00024882
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.94810909
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97644937
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96491498
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02915004
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02145119
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.2117
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.468172
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00051110
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005043
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00023792
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.94955003
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97672546
