step,t,sample,metric,region,value
-1,gt,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.8085
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00045007
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00008474
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00023343
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95322931
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97449148
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96583784
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02701830
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02230828
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,10.1041
0,981.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.355139
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00043255
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00007676
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00022156
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95388448
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97509789
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96646410
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02664972
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02171982
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.9892
1,961.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.305525
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00042430
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006914
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00021369
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95404375
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97548068
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96675587
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02614078
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02114828
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.9168
2,941.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.347514
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00041950
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006449
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00020898
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95420957
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97570127
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96695423
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02608159
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02080848
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.8025
3,921.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.392461
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00041671
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00006052
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00020548
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95399606
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97603607
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96706587
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02579815
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02048368
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.7935
4,901.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.396148
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00041752
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005874
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00020476
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95365715
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97604877
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96693540
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02577277
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.02036809
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.7598
5,881.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.283000
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00041457
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005573
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00020178
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95364481
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97610068
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96696126
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02563074
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01998518
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.6738
6,861.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.301919
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00041087
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005286
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00019857
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95374930
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97631192
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96712899
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02584834
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01996820
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.6290
7,841.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.347671
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00040892
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005150
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00019697
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95368403
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97644794
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96718311
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02581285
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01982374
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.5967
8,821.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.267559
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00040531
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00005067
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00019500
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95386964
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97659767
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96734738
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02544222
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01961712
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.5919
9,801.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.246754
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00040111
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00004945
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00019257
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95404470
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97673070
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96749759
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02554263
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01946103
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.5298
10,781.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.235159
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00039638
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00004825
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00018994
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95429993
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,upper_face,0.97687972
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,full,0.96768975
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,mouth,0.02535056
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lpips,full,0.01933184
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,sharpness,mouth,9.5168
11,761.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,lmd,mouth,1.313093
12,741.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,mouth,0.00039609
12,741.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,upper_face,0.00004804
12,741.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,pixel_mse,full,0.00018969
12,741.000000,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,ssim,mouth,0.95414573
