step,t,sample,metric,region,value,protocol
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,11.42965030670166,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.9882912039756775,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,5.237900733947754,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.06077367067337036,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.010360614396631718,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.030878614634275436,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3266817033290863,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22111093997955322,trajectory_cfg
0,0.9990,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.2640779912471771,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,11.387957572937012,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.9280399084091187,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,5.185201644897461,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.06074647232890129,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.010216593742370605,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.03078213520348072,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3293033242225647,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22236202657222748,trajectory_cfg
1,0.9957,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.2658868730068207,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,11.170084953308105,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.9110873937606812,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,5.0864763259887695,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.05877185985445976,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009919081814587116,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.029802048578858376,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3393040895462036,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22232607007026672,trajectory_cfg
2,0.9915,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.26993584632873535,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,11.081461906433105,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.9020095467567444,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,5.045022487640381,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.05811239033937454,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009941709227859974,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.02954706735908985,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3396238088607788,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22085829079151154,trajectory_cfg
3,0.9872,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.269195556640625,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,10.813887596130371,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8673544526100159,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,4.91556978225708,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,mouth,0.05666474252939224,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,upper_face,0.009621435776352882,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_relative,full,0.02876795455813408,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,mouth,0.3382281959056854,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,upper_face,0.22071030735969543,trajectory_cfg
4,0.9827,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,noise_floor,full,0.26853981614112854,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,mouth,10.54518985748291,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,upper_face,0.8662752509117126,trajectory_cfg
5,0.9780,17ef723a912e46713e84fc2b7dd74e23_shot_001_000,cfg_diff_raw,full,4.80557107925415,trajectory_cfg
